,Ratings,Date,Country,New_Reviews
18,1,16th October 2023,United Kingdom,trip verifi ba flight porto london heathrow oper finnair use finnair plane crew advis ba shortli book option chang flight prefer although busi class cabin similar layout ba club europ e middl seat kept free wife felt seat comfort legroom slightli better servic good board meal tasti chose beef cheek good land heathrow although pass passport control without delay design baggag reclaim wait wait hour ten minut went ba baggag counter ask go seem unawar issu said would find next hour variou passeng also request inform despit variou announc list differ excus almost hour bag final arriv frustrat say least subsequ complain ba week explan autom messag custom servic experienc except high volum respons say lot
19,5,14th October 2023,United Kingdom,trip verifi custom servic call centr etc atroci sometim callou care long wait speak anybodi power actual solv anyth call cut halfway without resolut anyway flight cancel origin one realli left nobodi care onboard servic short haul semi low cost confus never know expect time given bottl water small snack whilst anyth els paid yet flight appar pre order addit food confus make not depend cabin baggag theori gener compar competitor economi ask half passeng flight check cabin baggag gate due lack space overhead cabin lead long board delay whole offer thought well usb power suppli not work throughout flight contrari announc power avail seatbelt sight turn pointless provid socket first place not first choic airlin rout tri use avio point total abandon fail see deem star airlin
20,3,14th October 2023,United Kingdom,trip verifi frequent flyer ba last year note rate given frankli cannot understand ba score three star aspect servic nutshel ba place profit margin passeng appreci fact hammer home return leg not club europ quit alarmingli ba appear place profit passeng safeti extend busi class seat beyond emerg exit row fail ensur seat exit row physic capac actual open door incas emerg not reassur see elderli slightli built woman seat respons open overw exit need arisen short haul busi club europ simpli joke use gain valuabl tier point loung pre board benefit cabin crew servic excel lack space reduct refresh choic etc place million air mile behind compet airlin qatar turkish emir understand true definit custom appreci hospit ba consist erod valu execut club seem impress recent chang obtain avio point book process benefit passeng realli want support ba enjoy fli point start penni pinch becam deserv name budget airway attach photo take recent itinerari highlight differ custom care appreci british airway anoth airlin use trip flight around hour durat day guess one show ba flight offer
21,5,12th October 2023,United Kingdom,not verifi flew ba punta cana took troubl reserv seat outbound inbound flight board gatwick realis move much less good seat peopl sit seat spent lot money reserv appar chang aircraft number passeng automat realloc seat particular reason crew said noth could although cours could swap us coupl use seat told claim refund return home via complaint form ns ba offer us voucher accept less cost seat also natur want money back eventu got not without fight second rate shoddi airlin
22,4,12th October 2023,Australia,trip verifi downgrad busi premium economi took three month get back offer pound aud differ busi class premium economi never fli aud differ economi busi aud owe least pound fair pound downgrad insult incred pain recent cancer oper back injuri point need lie wait get around numb insult offer slap face continu degrad peopl dealt airport earth honest hard work peopl actual staff plane warm friendli help system ba oper sort mediev tortur
23,1,11th October 2023,United Kingdom,trip verifi alreadi delay aircraft land apart small ba logo rear fuselag indic carrier realli board turn farc passeng group told wait one queue order board inform wrong place board allow yet interior cabin reminisc ba cabin twenti year earlier except tight legroom uncomfort seat made budget airlin feel luxuri crew not ba unknown charter compani servic slow usual choic food purchas ran reach row request cup tea never appear thank good airport purchas water tini offer pretzel offici senior flight attend facilit club europ appear economi immedi slam armrest whilst still mid flight make alreadi uncomfort journey feel wors cattl class definit say happi land disembark understat never ba never
24,1,11th October 2023,United Kingdom,trip verifi caught gatwick cancel fiasco point smooth check unabl onlin part group travel secur flight cancel deni entri secur departur result point discov ba gatwick not ba masquerad unabl help provid littl assist unless real ba provid inform even though baggag airsid clue could get back howev thank supervisor busi class check came assist help predica baggag retriev inform claim revis ba flight lhr follow even difficult give rate cabin servic even board aircraft
25,2,10th October 2023,United Kingdom,trip verifi ba real problem board flight get first fill luggag bin bag one suppos small seat cabin staff bother implement rule subsequ passeng mill aisl bump search space board flight took hour result nonsens incom flight late alreadi minut flight minut late
26,1,8th October 2023,United States,trip verifi connect flight london glasgow cancel forc wait hour airport new flight receiv luggag glasgow discov luggag soak wet wife luggag content wet air dri
27,1,7th October 2023,Australia,trip verifi worst airlin ever flown alloc back row next toilet galley chanc get sleep question ask possibl seat movement ignor get bump entir time cabin crew walk push kart aisl without one apolog would better sit luggag compart
28,1,7th October 2023,United Kingdom,trip verifi excel servic level proactiv crew superb food beverag found aspect servic superior ba busi class even new ba club suit first class felt exclus dedic crew clearli use work premium cabin enjoy work proactiv friendli respect food beverag offer consider step busi class seat slide doubl door spaciou well design comfort british airway offer solid first class servic concord loung board actual group number chang warm genuin welcom board consist solid comfort servic start finish price right would not hesit book first class british airway
29,10,5th October 2023,United Kingdom,not verifi book special holiday partner septemb arriv way love south franc book busi class us start holiday right check told flight book seat print onto ticket reason alreadi made sure seat book book flight nearli year prior go unfortun arriv gate told would longer sat togeth one us would fact go economi girlfriend extrem nervou flyer take extra tablet remain calm food pre book also sat right bottom end flight held gate anoth coupl predica due love money grab british airway book flight end refus passeng end even peopl sat fold chair toilet area eventu arriv franc late wait luggag come airtag state case fact still heathrow wait day eventu come franc point holiday ruin british airway absolut shock speak anyon phone number longer use felt strand foreign countri cloth one help use next everi day watch case not move track air tag frustrat not abl plan day hope would get call drive way back air port hour way collect case end go buy new cloth toiletri stuff make best ruin holiday save receipt think would abl claim back wrong british airway take zero respons fob go insur british airway pay basic essenti pant toothpast file complaint got back request money back busi class even decenc even respond absolut joke compani wish would remov british name noth british not give money cant even look staff let alon custom oh bother tri cancel flight either take money give noth back
30,1,3rd October 2023,United Kingdom,not verifi return chicago flew day ago american airlin absolut superb everi way high expect return flight ba disappoint airbu may nice pilot perspect passeng aw uncomfort seat inflight entertain flight tracker fail work throughout flight inflight meal ined servic mediocr best short flight heathrow manchest much improv welcom attent flight staff flight even arriv earli futur travel one american carrier
31,2,2nd October 2023,United Kingdom,trip verifi ba standard continu declin everi time fli time min late departur seem norm ba inform rude clueless board gate staff club loung overcrowd dirti grubbi clean staff could not cope mani cutback ba go appli becom truli low cost year veteran user ba peopl complain alex cruz cut cost past year seen declin quickli latest ceo one read occasion articl ba improv thing yet see anyth substant seem british staff left amongst cabin crew mayb time name chang give flag carrier statu proper low cost sadli staff servic declin year year onboard cater remain poor surpris co produc rubbish meal sampl turkish airlin equival august superb guess ba tight budget onboard wifi servic joke avoid
32,2,2nd October 2023,United Kingdom,not verifi aw busi class check queue long economi probabl half desk not staf termin chaotic busi loung overful get seat delay flight unmanag chao gate drink board first drink serv hour take meal poor use get better economi airlin british airway race bottom cheapskat stake not look forward flight home
33,2,2nd October 2023,United Kingdom,trip verifi not reliabl airlin cannot trust time flight board time sit plane alreadi hour expect departur still not clear discov engin not work risk late busi meet geneva come bring not work plane gate funni thing anoth busi trip spring also ba amsterdam arriv airport time told seat put next flight sever hour get busi meet late still not much lot stress end second plane sit cabin hour miss meet thought dramat unlucki case time today see routin ba not fli time
34,3,30th September 2023,United Kingdom,trip verifi take comfort read last ten review see not travel put word absolut abysm british airway reason stuck use aw airlin use point book club europ month ago london athen sat row told run food option choic lentil pie green curri return athen london club europ check onlin promis arriv airport hr earli told overbook flight basic bump economi airlin fail deliv time time nation disgrac implor everyon choos altern
